,restaurant,food_score,service_score,ambiance_score,authentic_score,overall_score
72,Marmaris Restaurant,0.48204288,0.29626337,0.27178976,0.47064558,0.3801854
73,Mavi Turkish Restaurant Grill,0.43277296,0.2576836,0.25983918,0.44127616,0.34789297
74,Mehfil Mughlai,0.47359198,0.23930705,0.26839548,0.46827483,0.36239234
75,Moc Quan,0.4136381,0.23773153,0.24185556,0.41003174,0.32581425
76,Mrs Pho Bussorah,0.3925331,0.23249063,0.25817707,0.40594658,0.32228687
77,Mrs Pho House Rangoon,0.40930262,0.21097447,0.2633409,0.42720562,0.32770592
78,Murugan Idli Shop,0.357953,0.2451744,0.25765854,0.37044868,0.30780867
79,Nakhon Kitchen,0.3883318,0.21610858,0.19451241,0.39387557,0.2982071
80,Newton Food Centre,0.3556189,0.2030501,0.22110038,0.3857657,0.29138377
81,Newton Hawker Centre,0.33372834,0.20643555,0.21041216,0.36960363,0.2800449
82,No Menu,0.41188577,0.26760218,0.2092394,0.43627188,0.3312498
83,Nogawa Japanese Restaurant,0.39456907,0.22025374,0.22095689,0.3990924,0.30871803
84,Old Cheng Du,0.43404534,0.21074791,0.24057607,0.43447942,0.3299622
85,Omar Shariff Authentic Indian Cuisine,0.43775114,0.24609947,0.2489246,0.43137014,0.34103632
86,Oriental Chinese Restaurant,0.4144886,0.21987696,0.22504885,0.42368296,0.32077435
87,Papi s Tacos,0.41121408,0.23638369,0.23777339,0.44302362,0.3320987
88,Pasta Brava Italian Restaurant,0.4033284,0.2587316,0.20777409,0.4068583,0.3191731
89,Paulaner Brauhaus Singapore,0.3258315,0.33401507,0.2758881,0.36377406,0.3248772
90,Penang Culture NEX,0.39178148,0.34103802,0.26428482,0.41854727,0.3539129
91,Penang Place,0.4226772,0.22881043,0.21515265,0.40342894,0.3175173
92,PeraMakan,0.41527724,0.24474645,0.24861853,0.43252373,0.3352915
93,Pietrasanta,0.3984221,0.25352207,0.21581388,0.4146401,0.32059953
94,Pistachio Middle Eastern Mediterranean Grill,0.42904344,0.26260468,0.25318933,0.43190917,0.34418666
95,Pizza Art,0.382017,0.2167726,0.13934948,0.36645067,0.27614743
96,Podi Poriyal,0.40890074,0.281159,0.2726654,0.43633503,0.34976503
97,Pondok Jawa Timur,0.43462548,0.25490016,0.24714474,0.4252363,0.34047666
98,RAS The Essence of India,0.40166715,0.29390746,0.25216094,0.42811695,0.34396312
99,Red Sparrow,0.47097877,0.25855225,0.2848784,0.46759477,0.37050107
100,Red Star Restaurant Pte Ltd,0.27531844,0.22779782,0.2003528,0.28589338,0.24734062
101,Rosso Vino,0.3832567,0.3220127,0.24491997,0.41451916,0.34117714
102,SMITHS Authentic British Fish and Chips,0.3913298,0.1851681,0.24568978,0.3683283,0.297629
103,Sabai Fine Thai on the Bay,0.44137216,0.25900233,0.23173292,0.42371342,0.3389552
104,Samy s Curry,0.41481718,0.19542287,0.22851379,0.40996718,0.31218025
105,Sarai,0.4412179,0.2771788,0.25446433,0.4364062,0.3523168
106,Saravanaa Bhavan,0.3889943,0.25384283,0.2390823,0.40261447,0.32113346
107,Sari Ratu Singapore,0.42058027,0.19677125,0.21250032,0.427035,0.3142217
108,Sawadee Thai Cuisine,0.4512337,0.25634837,0.24279127,0.43003237,0.34510142
109,Sher An Authentic North Indian Experience,0.4418262,0.24832033,0.2773591,0.4653593,0.35821623
110,Shinji by Kanesaka,0.4031979,0.22229551,0.19066125,0.40075693,0.3042279
111,Shiraishi,0.39754716,0.20691364,0.19283566,0.39087182,0.29704207
112,ShuKuu Izakaya Sake Bar,0.43020043,0.26856846,0.2791856,0.4379746,0.35398227
113,Si Wei Mao Cai,0.4118937,0.20853597,0.24393834,0.41098955,0.31883937
114,Sofra Turkish Cafe Restaurant,0.38546196,0.29541045,0.2578781,0.40619975,0.33623758
115,Soi Aroy,0.4677342,0.24698944,0.25392646,0.45433375,0.35574594
116,Spice Junction,0.4300831,0.24899337,0.2514904,0.44002315,0.3426475
117,Sri Lukshmi Naarashimhan,0.43682858,0.26161504,0.2572969,0.47422895,0.3574924
118,Sri Rajya Lakshmi Narasimha,0.41989976,0.26138824,0.2512163,0.4584815,0.34774643
119,Sri Vakula,0.42166582,0.2335726,0.24630778,0.43945834,0.33525112
120,Suju Japanese Restaurant,0.4364886,0.23842536,0.20930107,0.42094582,0.3262902
121,Super Dario Lasagne Cafe,0.3447545,0.22288765,0.1990592,0.34784898,0.2786376
122,Super Ngon,0.3175555,0.20235142,0.28778937,0.31880543,0.28162542
123,Swaadhisht,0.41650712,0.23239239,0.24125452,0.4319159,0.3305175
124,Taj Authentic Indian Cuisine,0.35887927,0.19286661,0.23456189,0.3854902,0.2929495
125,Tapas Club,0.4250777,0.30710235,0.25350296,0.41989267,0.35139394
126,Teochew Restaurant Huat Kee,0.3872767,0.21704751,0.22557284,0.41963443,0.31238285
127,Thanying Restaurant Amara Hotel Lvl 2,0.42398763,0.25333798,0.25045398,0.41661805,0.3360994
128,The Banana Leaf Apolo,0.4235166,0.22514531,0.22544761,0.41680682,0.32272908
129,The Basil Inn,0.42369944,0.18412796,0.20392601,0.41834742,0.30752522
130,The Blue Ginger Restaurant,0.43458694,0.24532275,0.26426673,0.4466374,0.34770346
131,The Curry Culture,0.4264713,0.29088825,0.2849095,0.46412584,0.3665987
132,The Peranakan,0.4003743,0.25229618,0.2736258,0.44147485,0.34194276
133,Tiffin Room,0.3290993,0.25630087,0.18713313,0.35212886,0.28116554
134,Tiong Bahru Food Centre,0.3368816,0.21550797,0.22726089,0.38172883,0.29034483
135,Trattoria Nonna Lina,0.43122253,0.24367198,0.21535754,0.43529308,0.33138627
136,True Blue Cuisine,0.3999971,0.24072209,0.24109346,0.43594447,0.32943928
137,Unyangkordai SG,0.4100123,0.281164,0.24450487,0.4051171,0.33519956
138,Vatan Se,0.4427575,0.26419953,0.28850198,0.437697,0.358289
139,Vespetta Italian Restaurant,0.40760493,0.26722184,0.20491762,0.4145317,0.323569
140,Victor s Kitchen,0.32197976,0.2303886,0.2008275,0.3073219,0.26512942
141,Viet Express Authentic Viet Cuisine,0.4167825,0.20711519,0.22165082,0.3927844,0.30958322
142,Wahiro,0.38474187,0.2385518,0.2098333,0.40515462,0.3095704
143,Waterfall Ristorante Italiano,0.3982591,0.34073725,0.24879816,0.4000408,0.34695885
144,Wing Seong Fatty s Albert Restaurant,0.43416345,0.23597747,0.23508829,0.41920075,0.3311075
145,Yhingthai Palace Restaurant Pte Ltd,0.44229028,0.22143748,0.21738072,0.42236793,0.3258691
146,Yummy Punjaby,0.40788993,0.295189,0.28071228,0.41170987,0.34887528
